gsis_id,role
00-0036465,EDGE
00-0036479,EDGE
00-0036480,EDGE
00-0036486,UNKNOWN
00-0036497,UNKNOWN
00-0036500,LB
00-0036501,CB
00-0036502,S
00-0036503,LB
00-0036504,CB
00-0036505,IDL
00-0036506,CB
00-0036507,IDL
00-0036511,LB
00-0036517,EDGE
00-0036526,UNKNOWN
00-0036530,CB
00-0036537,IDL
00-0036546,CB
00-0036552,EDGE
00-0036558,IDL
00-0036559,CB
00-0036562,EDGE
00-0036563,CB
00-0036564,S
00-0036568,IDL
00-0036570,CB
00-0036571,UNKNOWN
00-0036573,CB
00-0036576,IDL
00-0036587,CB
00-0036589,CB
00-0036590,UNKNOWN
00-0036611,IDL
00-0036614,LB
00-0036615,CB
00-0036617,CB
00-0036621,LB
00-0036624,IDL
00-0036625,CB
00-0036629,S
00-0036630,UNKNOWN
00-0036632,EDGE
00-0036633,S
00-0036634,LB
00-0036635,UNKNOWN
00-0036637,UNKNOWN
00-0036638,S
00-0036643,LB
00-0036644,LB
00-0036645,CB
00-0036646,UNKNOWN
00-0036648,LB
00-0036649,IDL
00-0036656,S
00-0036658,LB
00-0036661,S
00-0036664,EDGE
00-0036666,EDGE
00-0036668,IDL
00-0036671,UNKNOWN
00-0036672,LB
00-0036677,S
00-0036678,CB
00-0036682,EDGE
00-0036683,S
00-0036689,IDL
00-0036695,IDL
00-0036700,IDL
00-0036704,LB
00-0036705,EDGE
00-0036711,EDGE
00-0036716,LB
00-0036724,UNKNOWN
00-0036725,EDGE
00-0036728,LB
00-0036730,EDGE
00-0036747,EDGE
00-0036748,CB
00-0036752,CB
00-0036764,S
00-0036767,IDL
00-0036775,LB
00-0036777,S
00-0036780,IDL
00-0036788,IDL
00-0036792,CB
00-0036802,LB
00-0036813,LB
00-0036831,EDGE
00-0036841,UNKNOWN
00-0036843,IDL
00-0036844,LB
00-0036845,EDGE
00-0036846,S
00-0036850,EDGE
00-0036851,IDL
00-0036853,S
00-0036855,IDL
00-0036857,UNKNOWN
00-0036862,UNKNOWN
00-0036863,EDGE
00-0036867,EDGE
00-0036868,EDGE
00-0036870,LB
00-0036871,CB
00-0036872,S
00-0036874,CB
00-0036876,UNKNOWN
00-0036877,UNKNOWN
00-0036878,EDGE
00-0036881,IDL
00-0036882,LB
00-0036883,IDL
00-0036884,CB
00-0036885,CB
00-0036888,S
00-0036896,EDGE
00-0036897,CB
00-0036899,CB
00-0036901,CB
00-0036902,EDGE
00-0036903,IDL
00-0036904,CB
00-0036908,CB
00-0036909,IDL
00-0036914,EDGE
00-0036915,LB
00-0036916,IDL
00-0036917,CB
00-0036919,UNKNOWN
00-0036920,IDL
00-0036921,EDGE
00-0036922,EDGE
00-0036925,LB
00-0036926,EDGE
00-0036927,LB
00-0036932,EDGE
00-0036933,EDGE
00-0036934,EDGE
00-0036935,CB
00-0036936,UNKNOWN
00-0036937,CB
00-0036938,EDGE
00-0036940,EDGE
00-0036941,S
00-0036942,IDL
00-0036944,CB
00-0036948,IDL
00-0036949,EDGE
00-0036950,UNKNOWN
00-0036952,EDGE
00-0036954,IDL
00-0036956,CB
00-0036959,UNKNOWN
00-0036961,S
00-0036962,S
00-0036964,LB
00-0036967,EDGE
00-0036974,CB
00-0036978,EDGE
00-0036981,IDL
