season,player,player_id,team,position,position_group,player_game_count,snap_counts_offense,snap_counts_pass_block,snap_counts_run_block,grades_offense,grades_pass_block,grades_run_block,pressures_allowed,sacks_allowed,hits_allowed,hurries_allowed,block_percent,pass_block_percent,pbe,penalties,declined_penalties
2023,Charlie Heck,36501,HOU,T,T,5,253,158,95,47.4,39.3,56.3,18,1,1,16,100.0,100.0,93.5,1,0
2023,Alijah Vera-Tucker,57107,NYJ,T,T,5,250,164,86,71.7,56.8,82.7,14,2,1,11,100.0,100.0,94.8,1,0
2023,Austin Schlottmann,30097,MIN,C,C,6,249,178,71,62.6,72.3,59.4,7,1,1,5,100.0,100.0,97.6,1,0
2023,Jake Hanson,28148,NYJ,G,G,5,244,165,79,51.8,59.7,48.7,9,0,1,8,100.0,100.0,97.1,1,0
2023,Brenden Jaimes,59909,LAC,C,C,4,241,155,86,49.8,71.1,39.8,4,1,0,3,100.0,100.0,98.3,1,0
2023,Ben Bartch,84236,SF,G,G,8,240,154,86,61.2,48.6,64.4,9,2,2,5,100.0,100.0,96.2,0,0
2023,Josh Jones,26634,HOU,T,T,6,233,152,81,49.6,55.8,52.2,9,1,3,5,100.0,100.0,96.5,5,0
2023,Cornelius Lucas,9025,WAS,T,T,9,231,152,79,62.8,73.6,49.7,8,3,1,4,100.0,100.0,96.2,1,0
2023,Sean Rhyan,72009,GB,G,G,11,229,128,101,49.3,42.5,50.8,8,0,0,8,100.0,100.0,96.7,1,0
2023,Jaylon Moore,43678,SF,T,T,15,227,121,106,72.9,69.7,69.8,8,1,1,6,100.0,100.0,96.1,0,0
2023,Conor McDermott,11966,NE,T,T,6,227,145,82,67.8,65.9,68.0,14,2,2,10,100.0,100.0,94.3,3,0
2023,Brock Hoffman,54535,DAL,C,C,8,222,124,98,53.7,57.0,54.3,5,0,0,5,100.0,100.0,97.8,3,0
2023,Jason Peters,2148,SEA,T,T,8,215,147,68,53.9,45.1,71.2,14,0,3,11,100.0,100.0,94.8,4,1
2023,Corey Linsley,8796,LAC,C,C,3,214,144,70,63.5,54.3,65.9,6,0,1,5,100.0,100.0,97.8,0,0
2023,Landon Young,41761,NO,T,T,11,213,106,106,49.4,45.9,51.1,5,2,0,3,99.5,99.1,96.5,1,0
2023,Kelvin Beachum,7229,ARI,T,T,6,212,119,93,61.2,67.6,51.7,10,2,0,8,100.0,100.0,94.6,1,0
2023,Cameron Erving,9452,NO,T,T,3,208,120,88,49.0,70.5,36.3,4,1,0,3,100.0,100.0,97.8,2,0
2023,Andrew Rupcich,156082,TEN,G,G,4,208,130,78,58.4,68.6,54.9,5,1,1,3,100.0,100.0,97.5,1,0
2023,Billy Turner,8702,NYJ,T,T,8,208,151,57,50.9,51.9,50.2,16,4,2,10,100.0,100.0,93.0,1,1
2023,Kendrick Green,56642,HOU,G,G,3,208,121,87,58.9,69.9,56.3,4,0,1,3,100.0,100.0,98.2,2,1
2023,Ryan Neuzil,41123,ATL,C,C,6,203,116,87,55.3,59.1,56.2,3,0,0,3,100.0,100.0,98.6,1,0
2023,Sam Mustipher,13026,BAL,C,C,7,202,110,92,67.0,61.0,67.1,2,0,0,2,100.0,100.0,99.0,1,0
2023,Gabe Jackson,8716,CAR,G,G,4,194,110,84,58.1,48.9,63.1,8,3,0,5,100.0,100.0,94.7,1,0
2023,Carter O'Donnell,105607,ARI,G,G,5,193,125,68,54.1,58.4,50.5,9,0,1,8,100.0,100.0,96.1,3,0
2023,Halapoulivaati Vaitai,10798,DET,G,G,3,192,122,70,65.5,68.4,64.6,3,1,0,2,100.0,100.0,98.3,1,1
2023,David Edwards,35941,BUF,G,G,17,194,35,156,90.2,68.0,85.9,1,0,0,1,98.5,92.1,98.4,1,0
2023,Daniel Faalele,81734,BAL,T,T,13,191,103,88,48.7,43.6,50.5,10,3,2,5,100.0,100.0,93.5,0,0
2023,Royce Newman,41746,GB,G,G,8,186,120,66,40.9,52.2,43.3,10,1,1,8,100.0,100.0,95.0,2,0
2023,Ja'Tyre Carter,78432,CHI,G,G,5,175,100,75,49.0,67.2,44.8,5,1,0,4,100.0,100.0,96.9,1,0
2023,Jack Driscoll,27064,PHI,T,T,8,174,107,67,48.5,58.6,37.2,10,1,1,8,100.0,100.0,94.8,0,0
2023,Ben Cleveland,41696,BAL,G,G,13,171,76,95,65.8,80.7,62.0,3,0,0,3,100.0,100.0,98.0,1,0
2023,Blake Brandel,46282,MIN,G,G,3,163,114,49,55.1,52.2,63.8,8,1,2,5,100.0,100.0,95.9,2,0
