game_id,play_id,season,week,posteam,defteam,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,down,ydstogo,yardline_100,qtr,score_differential,shotgun,no_huddle,qb_hit,pass_location,epa,epa_capped,air_epa,yac_epa,complete,air_yards_clean,yards_after_catch_clean,cp,cpoe,success,pass_touchdown,interception
2021_01_ARI_TEN,3488.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0033455,A.Firkser,3.0,10.0,49.0,3.0,-25.0,1.0,0.0,0.0,middle,-1.2664933,-1.2664933,-1.3824232,0.115929805,0,3.0,0.0,0.78127307,-78.127304,0.0,0.0,0.0
2021_01_ARI_TEN,3527.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,,,4.0,10.0,49.0,3.0,-25.0,1.0,0.0,1.0,,-3.1447217,-3.1447217,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0
2021_01_ARI_TEN,3728.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0027944,J.Jones,1.0,10.0,67.0,4.0,-25.0,1.0,0.0,0.0,middle,0.35277683,0.35277683,-0.2983126,0.65108943,1,4.0,6.0,0.8105272,18.947279,1.0,0.0,0.0
2021_01_ARI_TEN,3752.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0032764,D.Henry,1.0,10.0,57.0,4.0,-25.0,1.0,1.0,0.0,left,0.18862763,0.18862763,-1.0059505,1.194578,1,-3.0,11.0,0.87847555,12.152445,1.0,0.0,0.0
2021_01_ARI_TEN,3776.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0032355,C.Rogers,2.0,2.0,49.0,4.0,-25.0,1.0,1.0,0.0,right,0.52586114,0.52586114,0.23691273,0.28894845,1,6.0,4.0,0.75785226,24.214775,1.0,0.0,0.0
2021_01_ARI_TEN,3804.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0032764,D.Henry,1.0,10.0,39.0,4.0,-25.0,1.0,1.0,0.0,middle,0.4007656,0.4007656,-0.30257967,0.7033453,1,3.0,5.0,0.8078208,19.21792,1.0,0.0,0.0
2021_01_ARI_TEN,3828.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,,,2.0,2.0,31.0,4.0,-25.0,1.0,1.0,1.0,,-2.5563648,-2.5563648,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0
2021_01_ARI_TEN,3847.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0033955,J.McNichols,3.0,12.0,41.0,4.0,-25.0,1.0,0.0,1.0,right,-0.094875656,-0.094875656,-0.899823,0.8049474,1,3.0,4.0,0.5342015,46.57985,0.0,0.0,0.0
2021_01_ARI_TEN,3871.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0035676,A.Brown,4.0,5.0,34.0,4.0,-25.0,1.0,1.0,1.0,right,-2.1374652,-2.1374652,3.0012946,-5.1387596,0,9.0,0.0,0.36477652,-36.477654,0.0,0.0,0.0
2021_01_ARI_TEN,3919.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0036936,R.Moore,2.0,8.0,64.0,4.0,25.0,1.0,0.0,0.0,middle,0.9564155,0.9564155,-0.7564361,1.7128515,1,-2.0,11.0,0.81259924,18.740076,1.0,0.0,0.0
2021_01_BAL_LV,55.0,2021,1,LV,BAL,00-0031280,D.Carr,00-0031610,D.Waller,1.0,10.0,75.0,1.0,0.0,1.0,0.0,0.0,right,-0.7341083,-0.7341083,0.07908797,-0.8131963,0,6.0,0.0,0.805634,-80.5634,0.0,0.0,0.0
2021_01_BAL_LV,77.0,2021,1,LV,BAL,00-0031280,D.Carr,00-0035125,A.Ingold,2.0,10.0,75.0,1.0,0.0,1.0,1.0,0.0,left,0.9487852,0.9487852,-0.1727835,1.1215687,1,5.0,4.0,0.80410737,19.589264,1.0,0.0,0.0
2021_01_BAL_LV,169.0,2021,1,LV,BAL,00-0031280,D.Carr,00-0031610,D.Waller,3.0,9.0,34.0,1.0,0.0,1.0,0.0,0.0,middle,2.2373939,2.2373939,-0.395405,2.632799,1,7.0,6.0,0.736339,26.366102,1.0,0.0,0.0
2021_01_BAL_LV,228.0,2021,1,LV,BAL,00-0031280,D.Carr,00-0034983,H.Renfrow,1.0,17.0,28.0,1.0,0.0,1.0,0.0,0.0,left,-0.5049103,-0.5049103,2.053379,-2.5582893,0,24.0,0.0,0.38764292,-38.764294,0.0,0.0,0.0
2021_01_BAL_LV,250.0,2021,1,LV,BAL,00-0031280,D.Carr,00-0035700,J.Jacobs,2.0,17.0,28.0,1.0,0.0,1.0,0.0,0.0,left,-0.65874964,-0.65874964,0.03638759,-0.69513726,0,6.0,0.0,0.7968826,-79.68826,0.0,0.0,0.0
2021_01_BAL_LV,383.0,2021,1,BAL,LV,00-0034796,L.Jackson,00-0036457,T.Williams,1.0,10.0,71.0,1.0,0.0,1.0,0.0,0.0,left,-0.5340525,-0.5340525,-1.5395976,1.0055451,1,-5.0,7.0,0.8936086,10.639137,0.0,0.0,0.0
2021_01_BAL_LV,428.0,2021,1,BAL,LV,00-0034796,L.Jackson,00-0031325,S.Watkins,3.0,6.0,67.0,1.0,0.0,1.0,0.0,1.0,left,1.6319311,1.6319311,1.5576767,0.07425437,1,7.0,1.0,0.4677793,53.22207,1.0,0.0,0.0
2021_01_BAL_LV,475.0,2021,1,BAL,LV,00-0034796,L.Jackson,00-0034753,M.Andrews,1.0,15.0,64.0,1.0,0.0,1.0,0.0,1.0,middle,-0.60850894,-0.60850894,0.32656854,-0.9350775,0,8.0,0.0,0.57726413,-57.726414,0.0,0.0,0.0
2021_01_BAL_LV,518.0,2021,1,BAL,LV,00-0034796,L.Jackson,,,3.0,13.0,62.0,1.0,0.0,1.0,0.0,1.0,,-1.3667417,-1.3667417,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0
2021_01_BAL_LV,562.0,2021,1,LV,BAL,00-0031280,D.Carr,00-0031610,D.Waller,1.0,10.0,76.0,1.0,0.0,0.0,0.0,0.0,right,-0.6061706,-0.6061706,1.6074685,-2.213639,0,23.0,0.0,0.507723,-50.772297,0.0,0.0,0.0
2021_01_BAL_LV,590.0,2021,1,LV,BAL,00-0031280,D.Carr,00-0031610,D.Waller,2.0,10.0,76.0,1.0,0.0,1.0,0.0,0.0,right,-0.80460817,-0.80460817,2.9031289,-3.707737,0,35.0,0.0,0.36500818,-36.500816,0.0,0.0,0.0
2021_01_BAL_LV,612.0,2021,1,LV,BAL,00-0031280,D.Carr,00-0031610,D.Waller,3.0,10.0,76.0,1.0,0.0,1.0,0.0,0.0,middle,-1.5169886,-1.5169886,2.79321,-4.310199,0,20.0,0.0,0.5916339,-59.16339,0.0,0.0,0.0
2021_01_BAL_LV,668.0,2021,1,BAL,LV,00-0034796,L.Jackson,00-0035662,M.Brown,1.0,10.0,65.0,1.0,0.0,1.0,0.0,0.0,right,-0.5729432,-0.5729432,-0.8667166,0.29377338,1,-2.0,2.0,0.89030486,10.969514,0.0,0.0,0.0
