game_id,play_id,season,week,posteam,defteam,rusher_player_id,rusher_player_name,down,ydstogo,yardline_100,qtr,score_differential,shotgun,no_huddle,run_location,run_gap,epa,epa_capped,rushing_yards,success,rush_touchdown,fumble_lost
2021_01_BAL_LV,4416.0,2021,1,LV,BAL,00-0033118,K.Drake,1.0,10.0,39.0,5.0,0.0,0.0,0.0,right,tackle,0.26252064,0.26252064,6.0,1.0,0.0,0.0
2021_01_BAL_LV,4525.0,2021,1,LV,BAL,00-0031280,D.Carr,1.0,1.0,1.0,5.0,0.0,0.0,0.0,middle,,-0.2693019,-0.2693019,0.0,0.0,0.0,0.0
2021_01_BAL_LV,4715.0,2021,1,BAL,LV,00-0030513,L.Murray,1.0,10.0,70.0,5.0,0.0,1.0,0.0,right,guard,-0.6491497,-0.6491497,3.0,0.0,0.0,0.0
2021_01_BAL_LV,4801.0,2021,1,LV,BAL,00-0033118,K.Drake,1.0,10.0,27.0,5.0,0.0,0.0,0.0,left,tackle,-0.61737525,-0.61737525,1.0,0.0,0.0,0.0
2021_01_CHI_LA,93.0,2021,1,CHI,LA,00-0035685,D.Montgomery,2.0,6.0,53.0,1.0,0.0,0.0,1.0,middle,,2.9740765,2.9740765,41.0,1.0,0.0,0.0
2021_01_CHI_LA,119.0,2021,1,CHI,LA,00-0030874,D.Williams,1.0,10.0,12.0,1.0,0.0,1.0,0.0,middle,,-0.3428848,-0.3428848,0.0,0.0,0.0,0.0
2021_01_CHI_LA,244.0,2021,1,LA,CHI,00-0035664,D.Henderson,1.0,10.0,80.0,1.0,0.0,0.0,0.0,middle,,0.18481593,0.18481593,6.0,1.0,0.0,0.0
2021_01_CHI_LA,356.0,2021,1,CHI,LA,00-0035685,D.Montgomery,1.0,10.0,76.0,1.0,-7.0,0.0,0.0,left,guard,0.9397166,0.9397166,14.0,1.0,0.0,0.0
2021_01_CHI_LA,447.0,2021,1,CHI,LA,00-0035685,D.Montgomery,2.0,10.0,47.0,1.0,-7.0,1.0,0.0,middle,,-0.8234252,-0.8234252,2.0,0.0,0.0,0.0
2021_01_CHI_LA,562.0,2021,1,LA,CHI,00-0026498,M.Stafford,1.0,10.0,40.0,1.0,7.0,0.0,0.0,left,end,-0.576213,-0.576213,1.0,0.0,0.0,0.0
2021_01_CHI_LA,663.0,2021,1,CHI,LA,00-0030874,D.Williams,1.0,10.0,75.0,1.0,-10.0,0.0,0.0,left,end,-1.2934767,-1.2934767,-3.0,0.0,0.0,0.0
2021_01_CHI_LA,719.0,2021,1,CHI,LA,00-0030068,M.Goodwin,1.0,10.0,44.0,1.0,-10.0,1.0,0.0,left,end,-0.9823495,-0.9823495,-2.0,0.0,0.0,0.0
2021_01_CHI_LA,863.0,2021,1,LA,CHI,00-0035664,D.Henderson,1.0,10.0,41.0,1.0,10.0,0.0,0.0,left,tackle,-0.531614,-0.531614,2.0,0.0,0.0,0.0
